"2021-09-10","GI4040","CGO",null,"MNL",null,"scheduled"
"2021-09-10","NZ8217","AKL",null,"WRE",null,"scheduled"
"2021-09-10","NZ1291","CHC",null,"AKL",null,"scheduled"
"2021-09-10","NZ519","CHC",null,"AKL",null,"scheduled"
"2021-09-10","QF8540","CHC",null,"AKL",null,"scheduled"
"2021-09-10","EY4683","CHC",null,"AKL",null,"scheduled"
"2021-09-10","BR3335","CHC",null,"AKL",null,"scheduled"
"2021-09-10","NZ405","WLG",null,"AKL",null,"scheduled"
"2021-09-10","EY4601","WLG",null,"AKL",null,"scheduled"
"2021-09-10","BR3243","WLG",null,"AKL",null,"scheduled"
"2021-09-10","NZ5063","NSN",null,"AKL",null,"scheduled"
"2021-09-10","QF8471","NSN",null,"AKL",null,"scheduled"
"2021-09-10","NZ611","ZQN",null,"AKL",null,"scheduled"
"2021-09-10","QF8448","ZQN",null,"AKL",null,"scheduled"
"2021-09-10","EY4739","ZQN",null,"AKL",null,"scheduled"
"2021-09-10","BR3273","ZQN",null,"AKL",null,"scheduled"
"2021-09-10","NZ8139","TRG",null,"AKL",null,"scheduled"
"2021-09-10","NZ5025","NPE",null,"AKL",null,"scheduled"
"2021-09-10","QF8465","NPE",null,"AKL",null,"scheduled"
"2021-09-10","NZ8031","NPL",null,"AKL",null,"scheduled"
"2021-09-10","QF8498","NPL",null,"AKL",null,"scheduled"
"2021-09-10","NZ401","WLG",null,"AKL",null,"scheduled"
"2021-09-10","EY4599","WLG",null,"AKL",null,"scheduled"
"2021-09-10","Y87970","HGH",null,"CGO",null,"scheduled"
"2021-09-10","GI4209","NRT",null,"CGO",null,"scheduled"
"2021-09-10","O36912","SZX",null,"CGO",null,"scheduled"
"2021-09-10","Y87417","BRU",null,"CGO",null,"scheduled"
"2021-09-10","7L74","GYD",null,"CGO",null,"scheduled"
"2021-09-10","GI4108","CAN",null,"CGO",null,"scheduled"
"2021-09-10","H15971","ICN",null,"HKG",null,"scheduled"
"2021-09-10",null,"BWT",null,"LST",null,"scheduled"
"2021-09-10","PO212","NRT",null,"PVG",null,"scheduled"
"2021-09-10","CA8411","ANC",null,"PVG",10,"scheduled"
"2021-09-10","MS8074","HKT",null,"AUH",16,"scheduled"
"2021-09-10","QF7405","MEL",null,"SYD",null,"scheduled"
"2021-09-10","YG9073","ICN",null,"YNZ",null,"scheduled"
"2021-09-10","NZ8843","CHC",null,"NSN",null,"scheduled"
"2021-09-10","SQ4457","CHC",null,"NSN",null,"scheduled"
"2021-09-10","NZ8300","WLG",null,"NSN",null,"cancelled"
"2021-09-10","NZ5062","AKL",null,"NSN",null,"scheduled"
"2021-09-10","NZ8841","CHC",null,"NSN",null,"cancelled"
"2021-09-10","HT3805","JJN",null,"WUX",null,"scheduled"
"2021-09-10","O37002","TSN",null,"WUX",null,"scheduled"
"2021-09-10","GJ8710","SZX",null,"WUX",null,"scheduled"
"2021-09-10","GJ8703","HDG",null,"WUX",null,"scheduled"
"2021-09-10","O36969","HGH",null,"FOC",null,"scheduled"
"2021-09-10","KE314","ICN",null,"HKG",null,"scheduled"
"2021-09-10","S75277","PYJ",null,"OVB",15,"scheduled"
"2021-09-10",null,"LGG",null,"OVB",null,"scheduled"
"2021-09-10","S75255","UUD",null,"OVB",15,"scheduled"
"2021-09-10","HY3670","TAS",null,"OVB",null,"scheduled"
"2021-09-10","S75427","IKT",null,"OVB",15,"scheduled"
"2021-09-10","S75223","HTA",null,"OVB",15,"scheduled"
"2021-09-10","S75227","IKT",null,"OVB",15,"scheduled"
"2021-09-10",null,"IST",null,"KUL",10,"scheduled"
"2021-09-10","NZ515","CHC",null,"AKL",null,"scheduled"
"2021-09-10","CI5398","ANC",null,"TPE",10,"scheduled"
"2021-09-10","BX792","TAE",null,"TPE",null,"scheduled"
"2021-09-10","NZ5740","CHC",null,"DUD",null,"cancelled"
"2021-09-10","EY4492","CHC",null,"DUD",null,"cancelled"
"2021-09-10","CF9019","PKX",null,"CAN",null,"scheduled"
"2021-09-10","SQ4541","CHC",null,"TRG",null,"cancelled"
"2021-09-10","Y87458","PVG",null,"TSN",null,"scheduled"
"2021-09-10","CF9085","PKX",null,"HGH",null,"scheduled"
"2021-09-10",null,"LIF",null,"GEA",null,"scheduled"
"2021-09-10","PK218","PEW",null,"AUH",null,"scheduled"
"2021-09-10","BK5324","KMG",null,"CKG",null,"scheduled"
"2021-09-10","KC7175","SCO",null,"ALA",null,"scheduled"
"2021-09-10","EK449","DXB",null,"KUL",null,"scheduled"
"2021-09-10","EY4965","CAI",null,"AUH",null,"scheduled"
"2021-09-10","QF8616","CHC",null,"IVC",null,"cancelled"
"2021-09-10","EY460","MEL",null,"AUH",16,"scheduled"
"2021-09-10","AZ5688","ICN",null,"AUH",16,"scheduled"
"2021-09-10","EY470","SIN",null,"AUH",16,"scheduled"
"2021-09-10","KL3940","MEL",null,"AUH",16,"scheduled"
"2021-09-10","JU7558","MEL",null,"AUH",16,"scheduled"
"2021-09-10","KM2157","MEL",null,"AUH",16,"scheduled"
"2021-09-10","YG9025","CAN",null,"TSN",null,"scheduled"
"2021-09-10","QF660","BNE",null,"ADL",null,"scheduled"
"2021-09-10","MU4180","BNE",null,"ADL",null,"scheduled"
"2021-09-10","AS5057","BNE",null,"ADL",null,"scheduled"
"2021-09-10","NZ7660","BNE",null,"ADL",null,"scheduled"
"2021-09-10","BH8563","MNL",null,"HKG",null,"scheduled"
"2021-09-10","PO7680","ANC",null,"HKG",80,"scheduled"
"2021-09-10","CX3258","XMN",null,"HKG",null,"scheduled"
"2021-09-10","FJ1392","NAN",null,"HKG",null,"scheduled"
"2021-09-10","O37229","SZX",null,"KUL",null,"scheduled"
"2021-09-10","JQ929","BNE",null,"CNS",null,"scheduled"
"2021-09-10","QF5929","BNE",null,"CNS",null,"scheduled"
"2021-09-10","QF707","BNE",null,"CNS",null,"scheduled"
"2021-09-10","NZ7127","BNE",null,"CNS",null,"scheduled"
"2021-09-10","JQ945","MEL",null,"CNS",null,"scheduled"
"2021-09-10","QF5945","MEL",null,"CNS",null,"scheduled"
"2021-09-10","QF2352","CNS",null,"TSV",null,"scheduled"
"2021-09-10","NZ7301","CNS",null,"TSV",null,"scheduled"
"2021-09-10","OI700","PMK",null,"TSV",null,"scheduled"
"2021-09-10","QF2468","ISA",null,"TSV",null,"scheduled"
"2021-09-10","QF7321","CNS",null,"TSV",null,"scheduled"
"2021-09-10","CF9136","CAN",null,"NKG",null,"scheduled"
"2021-09-10","WY6082","DOH",null,"SIN",null,"scheduled"
